frame,shin.R__head_x,shin.R__head_y,shin.R__head_z,shin.R__tail_x,shin.R__tail_y,shin.R__tail_z,thigh.R__head_x,thigh.R__head_y,thigh.R__head_z,thigh.R__tail_x,thigh.R__tail_y,thigh.R__tail_z,shin.L__head_x,shin.L__head_y,shin.L__head_z,shin.L__tail_x,shin.L__tail_y,shin.L__tail_z,thigh.L__head_x,thigh.L__head_y,thigh.L__head_z,thigh.L__tail_x,thigh.L__tail_y,thigh.L__tail_z,spine__head_x,spine__head_y,spine__head_z,spine__tail_x,spine__tail_y,spine__tail_z,spine.006__head_x,spine.006__head_y,spine.006__head_z,spine.006__tail_x,spine.006__tail_y,spine.006__tail_z,upper_arm.R__head_x,upper_arm.R__head_y,upper_arm.R__head_z,upper_arm.R__tail_x,upper_arm.R__tail_y,upper_arm.R__tail_z,forearm.R__head_x,forearm.R__head_y,forearm.R__head_z,forearm.R__tail_x,forearm.R__tail_y,forearm.R__tail_z,upper_arm.L__head_x,upper_arm.L__head_y,upper_arm.L__head_z,upper_arm.L__tail_x,upper_arm.L__tail_y,upper_arm.L__tail_z,forearm.L__head_x,forearm.L__head_y,forearm.L__head_z,forearm.L__tail_x,forearm.L__tail_y,forearm.L__tail_z
1,-0.0317479707300663,-0.013783064670860767,0.026125455275177956,-0.04244835674762726,-0.0015755349304527044,0.009385043755173683,-0.025026505813002586,0.0009581830236129463,0.03785224258899689,-0.0317479707300663,-0.013783070258796215,0.026125449687242508,0.04585622623562813,-0.014720166102051735,0.023432644084095955,0.05748554691672325,-0.0001857946626842022,0.00938720814883709,0.03477039188146591,-0.0034898275043815374,0.035720184445381165,0.045856229960918427,-0.014720169827342033,0.023432640358805656,0.005423266906291246,0.004410793539136648,0.04040610417723656,0.006017312873154879,0.0035152030177414417,0.05893547832965851,0.00511156627908349,-0.029361071065068245,0.1365329623222351,0.004843320697546005,-0.03955219313502312,0.1554974913597107,-0.04336056113243103,-0.010185789316892624,0.10185792297124863,-0.051125284284353256,-0.022548262029886246,0.07004786282777786,-0.05112528055906296,-0.022548258304595947,0.07004787772893906,-0.024120643734931946,-0.03255901485681534,0.07844631373882294,0.05283835530281067,-0.004665418528020382,0.10386987775564194,0.07349615544080734,0.0065549262799322605,0.0779399648308754,0.07349614053964615,0.0065549155697226524,0.07793997973203659,0.05841616541147232,-0.01896330714225769,0.08256742358207703
2,-0.031849734485149384,-0.01345739047974348,0.026375969871878624,-0.04239380359649658,-0.0014621266163885593,0.00938479509204626,-0.024874672293663025,0.0013084945967420936,0.03792227804660797,-0.03184973821043968,-0.013457395136356354,0.026375968009233475,0.045866888016462326,-0.014947053976356983,0.02315126731991768,0.05743010714650154,-9.405170567333698e-05,0.009387407451868057,0.03486355394124985,-0.0037659909576177597,0.035557325929403305,0.04586689546704292,-0.014947057701647282,0.023151259869337082,0.0056187910959124565,0.0044182296842336655,0.040394026786088943,0.006265279836952686,0.003397133434191346,0.0589151494204998,0.005682752467691898,-0.028558531776070595,0.13693594932556152,0.005597582086920738,-0.038490064442157745,0.15603938698768616,-0.04342084005475044,-0.009746100753545761,0.10299801081418991,-0.05063781142234802,-0.02379143051803112,0.07176268100738525,-0.050637807697057724,-0.023791424930095673,0.07176269590854645,-0.02376890927553177,-0.03439963608980179,0.07985760271549225,0.053737036883831024,-0.005479129496961832,0.10363855212926865,0.07486463338136673,0.0030952836386859417,0.07708472013473511,0.07486461848020554,0.0030952761881053448,0.0770847499370575,0.059665631502866745,-0.02208937704563141,0.08297742903232574
3,-0.03195662051439285,-0.013112902641296387,0.026635969057679176,-0.042339395731687546,-0.0013506270479410887,0.009384578093886375,-0.02471299283206463,0.0016441844636574388,0.03802711144089699,-0.03195662796497345,-0.013112908229231834,0.02663596160709858,0.04587717726826668,-0.015142001211643219,0.022891180589795113,0.05737417936325073,-1.5194527804851532e-06,0.009387529455125332,0.03496091812849045,-0.004046337213367224,0.03544989973306656,0.045877180993556976,-0.015142004936933517,0.022891173139214516,0.005818786099553108,0.004413444083184004,0.04042983427643776,0.00650798249989748,0.00325689441524446,0.05894144997000694,0.0062565975822508335,-0.02770066261291504,0.13740421831607819,0.006349954754114151,-0.03734635189175606,0.1566535383462906,-0.043454572558403015,-0.009299101307988167,0.10417588800191879,-0.050088413059711456,-0.025099512189626694,0.07365801185369492,-0.05008840933442116,-0.025099504739046097,0.07365801930427551,-0.023402757942676544,-0.036401256918907166,0.08141341060400009,0.05460906773805618,-0.006312885321676731,0.1034834012389183,0.07615765929222107,-0.000550091965124011,0.07651212811470032,0.07615765184164047,-0.0005500998813658953,0.07651215046644211,0.06083760783076286,-0.02534019574522972,0.08363581448793411
4,-0.03206662833690643,-0.012745003215968609,0.026906650513410568,-0.042286381125450134,-0.0012432712828740478,0.009384374134242535,-0.024543482810258865,0.0019648708403110504,0.03817705810070038,-0.03206662833690643,-0.012745008803904057,0.02690664306282997,0.04588937759399414,-0.015306699089705944,0.022655749693512917,0.05731954053044319,9.056809358298779e-05,0.009387769736349583,0.03506019711494446,-0.004333191085606813,0.035395875573158264,0.04588938504457474,-0.015306703746318817,0.02265574224293232,0.006022013258188963,0.004395883064717054,0.04051627591252327,0.006748161278665066,0.0030981714371591806,0.0590171217918396,0.006850887089967728,-0.026800401508808136,0.13793057203292847,0.007118639070540667,-0.03613695129752159,0.15733009576797485,-0.043444279581308365,-0.008852965198457241,0.10538525879383087,-0.04946354031562805,-0.02641713060438633,0.07571590691804886,-0.04946354031562805,-0.026417121291160583,0.07571592926979065,-0.02301652729511261,-0.0385061614215374,0.08309220522642136,0.055461931973695755,-0.007165749091655016,0.1033983826637268,0.07735244184732437,-0.004342471249401569,0.07623524963855743,0.07735243439674377,-0.004342477302998304,0.07623526453971863,0.06192681938409805,-0.028702229261398315,0.08452092856168747
5,-0.03217707946896553,-0.012350300326943398,0.027187734842300415,-0.042235806584358215,-0.001142312539741397,0.009384187869727612,-0.02436833828687668,0.002269550459459424,0.03838075324892998,-0.03217708691954613,-0.01235030498355627,0.027187727391719818,0.0459015853703022,-0.015444621443748474,0.022444337606430054,0.0572669692337513,0.00017980276606976986,0.009387953206896782,0.0351586788892746,-0.004629405681043863,0.0353911817073822,0.0459015928208828,-0.015444625169038773,0.022444333881139755,0.0062269908376038074,0.004364455584436655,0.04065417870879173,0.006988612934947014,0.0029241491574794054,0.05914304032921791,0.007483471650630236,-0.025874067097902298,0.13850568234920502,0.007922341115772724,-0.034881990402936935,0.15805687010288239,-0.04337332025170326,-0.008418764919042587,0.10661959648132324,-0.04874461144208908,-0.02772022783756256,0.07792108505964279,-0.04874460771679878,-0.027720218524336815,0.07792110741138458,-0.02261037938296795,-0.04070950672030449,0.08486944437026978,0.05630352720618248,-0.0080372029915452,0.10337405651807785,0.0784272775053978,-0.008236857131123543,0.07625392824411392,0.0784272700548172,-0.008236860856413841,0.07625394314527512,0.06293079257011414,-0.032161932438611984,0.08560537546873093
6,-0.03228472173213959,-0.011926339939236641,0.027477223426103592,-0.042188696563243866,-0.001049386104568839,0.009383955039083958,-0.02418939583003521,0.002557454165071249,0.0386434905230999,-0.032284725457429886,-0.011926345527172089,0.027477215975522995,0.04591135308146477,-0.015560154803097248,0.022255288437008858,0.05721765756607056,0.00026284961495548487,0.009388136677443981,0.03525387495756149,-0.0049371798522770405,0.035429902374744415,0.045911356806755066,-0.015560158528387547,0.02225528471171856,0.006432443391531706,0.004318424966186285,0.04084194451570511,0.007231977302581072,0.0027377402875572443,0.059317730367183685,0.008169720880687237,-0.024940384551882744,0.13911794126033783,0.008777821436524391,-0.033605046570301056,0.15881916880607605,-0.0432283990085125,-0.00800857413560152,0.10787291079759598,-0.04791976511478424,-0.028988849371671677,0.08025369793176651,-0.04791976511478424,-0.02898884192109108,0.0802537202835083,-0.022193506360054016,-0.04300061985850334,0.08672124147415161,0.057141102850437164,-0.00892719067633152,0.10339894145727158,0.07936529815196991,-0.012185374274849892,0.07655734568834305,0.07936529070138931,-0.012185376137495041,0.07655736804008484,0.06384993344545364,-0.0357026606798172,0.0868631899356842
7,-0.03238542750477791,-0.011472067795693874,0.027771467342972755,-0.04214530438184738,-0.0009650322608649731,0.009383703581988811,-0.024007517844438553,0.0028293209616094828,0.038964368402957916,-0.03238542750477791,-0.011472072452306747,0.027771461755037308,0.045918919146060944,-0.015657398849725723,0.02208717167377472,0.057172562927007675,0.000338158686645329,0.00938828382641077,0.03534429892897606,-0.005256724543869495,0.03550369665026665,0.04591892659664154,-0.01565740257501602,0.022087164223194122,0.006637833546847105,0.004258597269654274,0.04107404127717018,0.007480465807020664,0.0025422596372663975,0.05953580513596535,0.008919747546315193,-0.02401517704129219,0.1397535353899002,0.009697169065475464,-0.03232698515057564,0.15960030257701874,-0.043002452701330185,-0.0076303198002278805,0.10914011299610138,-0.04698820039629936,-0.03020656108856201,0.08269339799880981,-0.046988192945718765,-0.030206549912691116,0.08269341289997101,-0.021784905344247818,-0.04535714164376259,0.08863081783056259,0.057979781180620193,-0.009834342636168003,0.10346005856990814,0.08015758544206619,-0.01614060439169407,0.07712799310684204,0.0801575779914856,-0.01614060252904892,0.07712801545858383,0.06468676775693893,-0.039299365133047104,0.0882781371474266
8,-0.032475318759679794,-0.010988201014697552,0.02806548960506916,-0.04210558906197548,-0.0008885585702955723,0.009383474476635456,-0.023822886869311333,0.003087021643295884,0.039335962384939194,-0.03247532248497009,-0.010988205671310425,0.028065485879778862,0.04592440649867058,-0.015740027651190758,0.021937092766165733,0.05713185295462608,0.00040575419552624226,0.009388366714119911,0.03542940691113472,-0.005586501210927963,0.03560313582420349,0.045924410223960876,-0.015740031376481056,0.021937085315585136,0.006843029987066984,0.00418688403442502,0.04134169593453407,0.007734872400760651,0.002340420614928007,0.05978858470916748,0.00973551906645298,-0.023109879344701767,0.14039777219295502,0.01068471185863018,-0.03106396459043026,0.1603831648826599,-0.04269706457853317,-0.007285870611667633,0.11041811853647232,-0.0459628626704216,-0.03136073425412178,0.08522412180900574,-0.0459628663957119,-0.03136071935296059,0.08522413671016693,-0.021411746740341187,-0.04774383828043938,0.09059394896030426,0.05882050096988678,-0.010756909847259521,0.10354536771774292,0.08080394566059113,-0.020060038194060326,0.07794886082410812,0.08080393821001053,-0.020060036331415176,0.07794887572526932,0.06544417887926102,-0.04291651397943497,0.08985091000795364
9,-0.03255029395222664,-0.01045816671103239,0.028363721445202827,-0.04206991195678711,-0.0008206814527511597,0.009383260272443295,-0.023637743666768074,0.0033244644291698933,0.039792001247406006,-0.03255029767751694,-0.010458171367645264,0.02836371771991253,0.04592848941683769,-0.015809208154678345,0.021811464801430702,0.05710071325302124,0.00045778637286275625,0.00938850361853838,0.03550437465310097,-0.005935325752943754,0.035734258592128754,0.04592849314212799,-0.015809211879968643,0.021811457350850105,0.007046734914183617,0.004097483120858669,0.04166189208626747,0.008003918454051018,0.002134088659659028,0.06009342893958092,0.010656658560037613,-0.022254783660173416,0.14105893671512604,0.011777319014072418,-0.029849067330360413,0.1611749678850174,-0.042268481105566025,-0.007022051140666008,0.11169587820768356,-0.04477071389555931,-0.032460782676935196,0.08778747171163559,-0.04477071389555931,-0.032460767775774,0.08778749406337738,-0.02104213275015354,-0.05020611360669136,0.09248393028974533,0.05968879535794258,-0.011696230620145798,0.10364357382059097,0.08127802610397339,-0.023901375010609627,0.07894659042358398,0.08127802610397339,-0.02390137128531933,0.07894661277532578,0.0661347433924675,-0.046593084931373596,0.09142725169658661
10,-0.03262145072221756,-0.009716695174574852,0.028743870556354523,-0.042038336396217346,-0.0007591576431877911,0.009382913820445538,-0.02341749705374241,0.003449337789788842,0.04065784811973572,-0.03262145817279816,-0.009716699831187725,0.028743863105773926,0.04595189914107323,-0.01572994515299797,0.02193119190633297,0.057101137936115265,0.000460626557469368,0.009388329461216927,0.03561076521873474,-0.006366020068526268,0.03626219928264618,0.045951902866363525,-0.01572994887828827,0.021931184455752373,0.007281454745680094,0.0039076609537005424,0.04238860309123993,0.008304545655846596,0.0018141304608434439,0.06080227345228195,0.011732039041817188,-0.02111252397298813,0.14224916696548462,0.012955622747540474,-0.02815052680671215,0.1625605821609497,-0.04161017760634422,-0.007049171719700098,0.11309182643890381,-0.04278618469834328,-0.03389137610793114,0.09066160768270493,-0.04278618469834328,-0.033891357481479645,0.09066163003444672,-0.020393410697579384,-0.05355753004550934,0.09409740567207336,0.060682691633701324,-0.012626362964510918,0.10421976447105408,0.08129400759935379,-0.027920888736844063,0.08042369782924652,0.0812940001487732,-0.027920883148908615,0.08042372018098831,0.06684506684541702,-0.051110994070768356,0.09281104058027267
